query,label
What are all the products you have?,18
If I will order one product today them when it will be reach,20
what are the working hours of your call center during covid lockdown,0
"I want my payment for refund back, when I will get it?",14
Need to buy,18
"I wanted to order some things, can I place an order on the website?",12
Not a registered user,22
some of the items I have ordered are missing how do I get a replacement?,14
"If i place my order today, when will it be delivered?",20
pathetic service,2
can my order be delivered early,7
When will my order will be delivered,7
I have query related to payments and bill,15
Friend referral,19
I got fake product,13
Fat burner,18
Are curekart store open,24
Wanted to get Protein powder,18
Modify Address,10
Vitamin,18
my order is not delivered yet,7
I want to know when i will get my order if i place my order today,20
best supplement for biceps and triceps growth,18
Reedem referral,19
How much more time do I have to wait for my parcel,7
Help me in increasing immunity,27
I would like to return a part of my latest order,14
Bad Service,2
My supplement is original or not,13
Product Service,17
I would just like to return my product since you have delivered something completely different from what I had initially ordered,14
Payments and Bills,15
I need to initiate return,14
"I have an issue with my bill, can I get a duplicate copy?",15
Where do you live,7
I want to speak with a live agent,2
"I am aiming to get a lean body, can you help me?",18
are you working during covid,26
Can you send me a duplicate bill for my order?,15
You can deliver order now in curfew,20
"I have been trying to maintain a healthy lifestyle as a new year goal, which products whould you recommend to me",18
Refund money,14
i want to refund my product,14
Whats my order status,7
what time are you guys open,0
what is the time when call center is working,0
give me some other products regarding building a good health and body,18
Could I chat with a human please,2
I want new product,18
L arginine,18
i want invoice,15
Will I receive my order after covid19 lockdown?,7
i want your contact number where I can call you,0
My Refund,14
Not received my replacement order,14
Diet and Fitness Advice for Weight Loss,3
I want my money back,14
I wanted to talk to contact your head office for some work but is it open?,26
is your call center working during covid?,0
Return the product,14
i want to become the seller partner,6
are you as well working from home like I am?,26
I am not a registered user of curekart,22
Best whey protein,18
I am trying to cut down on my weight,18
brain memory,18
I want to chat with an agent,2
Best protein for lein body,18
Are you still delivering during this time?,12
are u providing delivery,20
I want to raise a complaint,2
Best multivitamins for bulking,18
I will require a duplicate bill for my previous orders since I have to show it as a proof,15
When can I get my product if I order today,20
Replacement order,14
How to find the expiry date of a product,5
Give me a copy of my bill please,15
Fake product,13
i know its lockdown due to coronavirus but can i still place an order?,12
Creatine,18
My friend refer me to CureKart,19
What is the progress of my orders,7
Delivery period and date is not mentioned,20
Does it have side effects?,21
I have been eager to receive my order how long it will take to deliver?,7
Diet and Fitness Advice for Bulk Muscle Gain,3
i want to return one product,14
Can you check my pincode delivery,17
How to refer my referal code,19
i have to change my address,10
Are you guys delivering the products if i order?,20
please tell me if I can still place an order on the website during the lockdown,12
I would want to take re-assessment,25
I want to book shipment on cash on delivery,12
I want to grow my height,18
Dumbbell,18
How can I cancel my pending order?,1
How can i cancel my order?,1
I wanted to be a seller,6
Can you help me with building an athletic body so that I participate in sports competition,18
"I have not received my bill, give me my bill",15
i i want weight loss,18
I have still not received my order,4
How can I increase my immunity,27
is the call center still functioning during lockdown,0
Height,18
Refund not received,14
Restart the flow,23
"I want to track my order, when will it arrive?",7
Return Policy,14
Live agent,2
Where is my order?,7
order returned,14
give me my duplicate bill,15
Refral code,19
poor customer support,2
No one is answering,2
Are you taking orders during COVID?,12
Start over the flow,23
Hi do you deliver in this situation?,20
Product Expiry,5
My Referral code,19
Talk to agent,2
In how many days I will get delivery,7
show me my duplicate bill for my latest order,15
My order was supposed to arrive long ago. Can you please tell me when will it come?,4
Wts delivery time if i order today,20
pls give me customer care no,0
Consumer care number,0
my account got debited but my order did not get placed please give me a solution,15
This is extremely urgent,2
is Cure Kart providing delivery during lockdown?,20
Start over,23
How many days will take to deliver,17
COD,12
How cani refer a friend for this app?,19
I want to place cancellation,1
call center not reachable,2
Where is my refund?,14
When will you resume delivery due to COVID?,20
I want to cancel my placed order,1
Tell me the modes of payment,9
Delay during Covid-19,4
Fill my body measures & Goal,25
Kindly cancel my order,1
What is my shipment status,7
Advice a diet chart,3
Resistance band,18
I need some product suggestion depending on my health goal,18
Query for my order,11
I am confused about what to buy since there are too many options I and I really don't know what I should focus on right now,18
i'm beginner in gym,18
COD option is not available,12
I am a new user,22
Gym Equipment,18
Generate Diet Analysis,3
I want invoice of my product,15
SELLER,6
i want to become a seller,6
Need help with refferal,19
please provide the status,7
I want my item replaced because the item I have received has tampered with already,14
how is CureKart handling covid orders,20
True Basic,18
Regarding change of address of my order.,10
I want to speak with a human,2
you have not provided me my bill yet,15
Start again,23
"If I order today, when will I get the delivery?",20
Why is my parcel delayed,4
I want to became a seller,6
Protein shakes for weight loss,18
I want to order but are you delivering,20
Diet and Fitness Advice for Lean Muscle Gain,3
Best pre workout supplement,18
why my order is delayed,4
"I want a duplicate bill for my order, where can I find it?",15
I want to change my delivery address,10
does the government lockdown affect curekart?,26
I want to get the product,18
Contact Call Center,0
Can I get the product these days if I prepay you,20
I havent received my refund it has been many days since the return,14
I had ordered before the covid breakout how much more time it will take to deliver?,7
Fill my goal,25
Please suggest me what is the best medicine of immunity boosting,18
Want to know about refer & Earn,19
query related to refunds,14
Check Refund Status,14
energy boost in body,18
Do i need to make payment in cash,12
I ordered by mistake,14
You guys are fraud,2
Cancel my order,1
live person to talk,2
Toll Free Number,0
Show me your authenticity,13
how can i check the authenticity of the product,13
Can I order now ?,12
I want to know information related to my orders,11
Customer care number,0
Waste of my time,2
Track Order,7
My order status has not been updated on the website please tell where it is,7
Unable to see product in my cart,16
Can i buy during quarantine,12
can i change the addres on the order,10
I want dumbells set,18
Money deducted but order not placed,15
I would like to get dealership,6
Where can I see order status? Whether it's shipped or not yet?,7
When I'll be receiving the product?,20
I want to order on products,12
can i become a seller,6
Multi vitamin,18
Are stores still opening?,24
I have sent my order for refund how much time will it take?,14
Why it is not showing COD option,12
Can you tell me my current order status,7
Can you please change the address?,10
I want to track my order,7
Cancellation,1
I want change my addresses,10
I want to know about my replacements,14
Are you delivering products at my pincode,17
Where can i check the expiry information of the product?,5
Order Replacement for the products i received because I did not order what I have received,14
When will it arrive,7
Fish oil,18
Can you tell me about my previous orders,7
Lose weight and gain lean muscles,18
What if I find it fake after receiving,13
Impact on Delivery,20
is there any side effects,21
International Shipping,8
I want your number,0
give me all the products required for bodybuilding,18
I want my invoice for my previous orders,15
There is no option for cash on delivery,12
